constructorId,year,driverId,forename,surname,total_points,num_races
164,2012,37,Pedro,"de la Rosa",0,20
164,2012,39,Narain,Karthikeyan,0,20
208,2012,816,Jérôme,d'Ambrosio,0,1
208,2013,8,Kimi,Räikkönen,183,17
6,2013,4,Fernando,Alonso,242,19
9,2013,20,Sebastian,Vettel,397,19
6,2013,13,Felipe,Massa,112,19
131,2013,1,Lewis,Hamilton,189,19
9,2013,17,Mark,Webber,199,19
10,2013,16,Adrian,Sutil,29,19
10,2013,814,Paul,"di Resta",48,19
1,2013,18,Jenson,Button,73,19
208,2013,154,Romain,Grosjean,132,19
1,2013,815,Sergio,Pérez,49,19
5,2013,818,Jean-Éric,Vergne,13,19
15,2013,821,Esteban,Gutiérrez,6,19
3,2013,822,Valtteri,Bottas,4,19
206,2013,824,Jules,Bianchi,0,19
207,2013,819,Charles,Pic,0,19
206,2013,820,Max,Chilton,0,19
207,2013,823,Giedo,"van der Garde",0,19
5,2013,817,Daniel,Ricciardo,20,19
131,2013,3,Nico,Rosberg,171,19
3,2013,813,Pastor,Maldonado,1,19
15,2013,807,Nico,Hülkenberg,51,19
208,2013,5,Heikki,Kovalainen,0,2
131,2014,3,Nico,Rosberg,317,19
1,2014,825,Kevin,Magnussen,55,19
1,2014,18,Jenson,Button,126,19
6,2014,4,Fernando,Alonso,161,19
3,2014,822,Valtteri,Bottas,186,19
10,2014,807,Nico,Hülkenberg,96,19
6,2014,8,Kimi,Räikkönen,55,19
5,2014,818,Jean-Éric,Vergne,22,19
5,2014,826,Daniil,Kvyat,8,19
10,2014,815,Sergio,Pérez,59,19
15,2014,16,Adrian,Sutil,0,19
15,2014,821,Esteban,Gutiérrez,0,19
206,2014,820,Max,Chilton,0,16
206,2014,824,Jules,Bianchi,2,15
208,2014,154,Romain,Grosjean,8,19
208,2014,813,Pastor,Maldonado,2,19
207,2014,828,Marcus,Ericsson,0,16
9,2014,20,Sebastian,Vettel,167,19
131,2014,1,Lewis,Hamilton,384,19
3,2014,13,Felipe,Massa,134,19
207,2014,155,Kamui,Kobayashi,0,16
9,2014,817,Daniel,Ricciardo,238,19
207,2014,827,André,Lotterer,0,1
207,2014,829,Will,Stevens,0,1
131,2015,1,Lewis,Hamilton,381,19
131,2015,3,Nico,Rosberg,322,19
6,2015,20,Sebastian,Vettel,278,19
3,2015,13,Felipe,Massa,121,19
15,2015,831,Felipe,Nasr,27,19
9,2015,817,Daniel,Ricciardo,92,19
10,2015,807,Nico,Hülkenberg,58,19
15,2015,828,Marcus,Ericsson,9,19
5,2015,832,Carlos,Sainz,18,19
10,2015,815,Sergio,Pérez,78,19
1,2015,18,Jenson,Button,16,19
6,2015,8,Kimi,Räikkönen,150,19
5,2015,830,Max,Verstappen,49,19
208,2015,154,Romain,Grosjean,51,19
208,2015,813,Pastor,Maldonado,27,19
9,2015,826,Daniil,Kvyat,95,19
1,2015,825,Kevin,Magnussen,0,1
3,2015,822,Valtteri,Bottas,136,19
209,2015,833,Roberto,Merhi,0,13
1,2015,4,Fernando,Alonso,11,18
209,2015,829,Will,Stevens,0,18
209,2015,834,Alexander,Rossi,0,5
131,2016,3,Nico,Rosberg,385,21
131,2016,1,Lewis,Hamilton,380,21
6,2016,20,Sebastian,Vettel,212,21
9,2016,817,Daniel,Ricciardo,256,21
3,2016,13,Felipe,Massa,53,21
210,2016,154,Romain,Grosjean,29,21
10,2016,807,Nico,Hülkenberg,72,21
3,2016,822,Valtteri,Bottas,85,21
5,2016,832,Carlos,Sainz,46,21
5,2016,830,Max,Verstappen,13,4
4,2016,835,Jolyon,Palmer,1,21
4,2016,825,Kevin,Magnussen,7,21
10,2016,815,Sergio,Pérez,101,21
1,2016,18,Jenson,Button,21,21
15,2016,831,Felipe,Nasr,2,21
209,2016,836,Pascal,Wehrlein,1,21
15,2016,828,Marcus,Ericsson,0,21
6,2016,8,Kimi,Räikkönen,186,21
209,2016,837,Rio,Haryanto,0,12
210,2016,821,Esteban,Gutiérrez,0,21
1,2016,4,Fernando,Alonso,54,20
9,2016,826,Daniil,Kvyat,21,4
1,2016,838,Stoffel,Vandoorne,1,1
9,2016,830,Max,Verstappen,191,17
5,2016,826,Daniil,Kvyat,4,17
209,2016,839,Esteban,Ocon,0,9
6,2017,20,Sebastian,Vettel,317,20
131,2017,1,Lewis,Hamilton,363,20
131,2017,822,Valtteri,Bottas,305,20
6,2017,8,Kimi,Räikkönen,205,20
9,2017,830,Max,Verstappen,168,20
3,2017,13,Felipe,Massa,43,19
10,2017,815,Sergio,Pérez,100,20
5,2017,832,Carlos,Sainz,48,16
5,2017,826,Daniil,Kvyat,5,15
10,2017,839,Esteban,Ocon,87,20
4,2017,807,Nico,Hülkenberg,43,20
15,2017,841,Antonio,Giovinazzi,0,2
1,2017,838,Stoffel,Vandoorne,13,20
1,2017,4,Fernando,Alonso,17,19
210,2017,825,Kevin,Magnussen,19,20
3,2017,840,Lance,Stroll,40,20
9,2017,817,Daniel,Ricciardo,200,20
15,2017,828,Marcus,Ericsson,0,20
4,2017,835,Jolyon,Palmer,8,16
210,2017,154,Romain,Grosjean,28,20
15,2017,836,Pascal,Wehrlein,5,18
